country,region,election_renewal,year,month,chamber_type,chamber_total_seats,women_total,women_perc,notes
Dominican Republic,AME,Yes,1970,,upper,27,4.0,0.15,
Dominican Republic,AME,Yes,1974,,lower,91,13.0,0.14,
Dominican Republic,AME,Yes,1974,,upper,27,3.0,0.11,
Dominican Republic,AME,Yes,1978,,lower,91,11.0,0.12,
Dominican Republic,AME,Yes,1978,,upper,27,2.0,0.07,
Dominican Republic,AME,Yes,1982,,lower,120,7.0,0.06,
Dominican Republic,AME,Yes,1982,,upper,27,1.0,0.04,
Dominican Republic,AME,Yes,1986,,lower,120,9.0,0.08,
Dominican Republic,AME,Yes,1986,,upper,30,1.0,0.03,
Dominican Republic,AME,Yes,1990,,lower,120,14.0,0.12,
Dominican Republic,AME,Yes,1990,,upper,30,0.0,0.0,
Dominican Republic,AME,Yes,1994,,lower,120,14.0,0.12,
Dominican Republic,AME,Yes,1994,,upper,30,1.0,0.03,
Dominican Republic,AME,Yes,1998,,lower,149,24.0,0.16,
Dominican Republic,AME,Yes,1998,,upper,30,2.0,0.07,
Dominican Republic,AME,Yes,2002,,lower,150,26.0,0.17,
Dominican Republic,AME,Yes,2002,,upper,32,1.0,0.03,
Dominican Republic,AME,Yes,2002,September,lower,150,26.0,0.17,
Dominican Republic,AME,Yes,2006,,lower,178,35.0,0.2,
Dominican Republic,AME,Yes,2006,,upper,32,1.0,0.03,
Dominican Republic,AME,Yes,2010,,lower,183,38.0,0.21,"Under the new Constitution, which came into effect in January 2010, the statutory term of the Congress of the Republic remains four years. However, those members elected in 2010 will serve a six-year term in order to synchronize presidential, parliamentary and local elections in 2016."
Dominican Republic,AME,Yes,2010,,upper,32,3.0,0.09,
Dominican Republic,AME,Yes,2016,May,lower,190,,,
Dominican Republic,AME,Yes,2016,,lower,183,38.0,0.21,
Dominican Republic,AME,Yes,2016,,upper,32,3.0,0.09,
Ecuador,AME,Yes,1948,,lower,73,0.0,0.0,First elections of the Constitutional Period following the 1944-1948 rule by José María Velasco Ibarra
Ecuador,AME,Yes,1948,,upper,47,0.0,0.0,First elections of the Constitutional Period following the 1944-1948 rule by José María Velasco Ibarra
Ecuador,AME,Yes,1952,,lower,73,0.0,0.0,
Ecuador,AME,Yes,1952,,upper,47,0.0,0.0,
Ecuador,AME,Yes,1960,,lower,73,2.0,0.03,Congress was dissolved following a military coup d'Etat in July 1963.
Ecuador,AME,Yes,1960,,upper,47,0.0,0.0,Congress was dissolved following a military coup d'Etat in July 1963.
Ecuador,AME,Yes,1966,,temporary_assembly,77,1.0,0.01,Constituent  Assembly (unicameral).
Ecuador,AME,Yes,1968,,lower,74,0.0,0.0,"In June 1970, the National Congress was dissolved by President Velasco with the support of the armed forces."
Ecuador,AME,Yes,1968,,upper,51,1.0,0.02,"In June 1970, the National Congress was dissolved by President Velasco with the support of the armed forces."
Ecuador,AME,Yes,1979,,single,69,0.0,0.0,
Ecuador,AME,Yes,1984,,single,72,3.0,0.04,
Ecuador,AME,Yes,1986,,single,72,1.0,0.01,
Ecuador,AME,Yes,1988,,single,67,3.0,0.04,
Ecuador,AME,Yes,1990,,single,67,5.0,0.07,
Ecuador,AME,Yes,1992,,single,67,4.0,0.06,
Ecuador,AME,Yes,1994,,single,67,3.0,0.04,
Ecuador,AME,Yes,1998,,single,121,21.0,0.17,
Ecuador,AME,Yes,2002,,single,100,16.0,0.16,
Ecuador,AME,Yes,2006,,single,100,25.0,0.25,
Ecuador,AME,Yes,2009,,single,124,40.0,0.32,
Ecuador,AME,Yes,2013,,single,124,40.0,0.32,
Ecuador,AME,Yes,2017,,single,137,52.0,0.38,
Ecuador,AME,Yes,2013,May,single,137,53.0,0.39,
Egypt,MENA,Yes,1950,,single,319,0.0,0.0,Parliament was dissolved by royal decree on 24 March 1952.
Egypt,MENA,Yes,1957,,single,350,2.0,0.01,
Egypt,MENA,Yes,1960,,single,600,7.0,0.01,"The 400-member Assembly of Egypt, including 7 women, and 200 members of the Chamber of Deputies of Syria, no women among them.  The Assembly was dissolved following a military coup d'Etat on 29 September 1961 in Damascus, following which Syria seceded from the UAR and established the independent Syrian Arab Republic."
Egypt,MENA,Yes,1964,,single,360,8.0,0.02,
Egypt,MENA,Yes,1969,,single,360,3.0,0.01,
Egypt,MENA,Yes,1971,,single,360,8.0,0.02,First legislature of the Arab Republic of Egypt.
Egypt,MENA,Yes,1976,,single,360,6.0,0.02,
Egypt,MENA,Yes,1979,,single,392,35.0,0.09,30 seats were reserved for women
Egypt,MENA,Yes,1984,,single,458,36.0,0.08,30 seats were reserved for women
Egypt,MENA,Yes,1987,,single,458,18.0,0.04,
Egypt,MENA,Yes,1990,,single,454,10.0,0.02,
Egypt,MENA,Yes,1995,,single,454,9.0,0.02,
Egypt,MENA,Yes,2000,,lower,454,11.0,0.02,
Egypt,MENA,Yes,2004,,upper,264,18.0,0.07,"In total 176 Members were directly elected, 88 were appointed. In 2004 elections were held for half of Senate seats"
Egypt,MENA,Yes,2005,,lower,454,9.0,0.02,
Egypt,MENA,Yes,2007,November,upper,264,21.0,0.08,"Elections were held for 88 of the members, another 44 were appointed; of these 132 renewed seats, 10 were won by women."
Egypt,MENA,Yes,2007,December,upper,264,18.0,0.07,
Egypt,MENA,Yes,2010,,lower,512,65.0,0.13,
Egypt,MENA,Yes,2011,,lower,508,10.0,0.02,La révolution égyptienne de 25 janvier 2011. Appointed members: appointed by the Supreme Council of the Armed Forces (SCAF).
Egypt,MENA,Yes,2015,,single,596,89.0,0.15,
El Salvador,AME,Yes,1961,,temporary_assembly,54,2.0,0.04,First legislative elections in which women could run as candidates:  this unicameral Constituent Assembly elected in 1961 became a Legislative Assembly as of January 1962.
El Salvador,AME,Yes,1964,,single,52,1.0,0.02,
El Salvador,AME,Yes,1966,,single,52,6.0,0.12,
El Salvador,AME,Yes,1968,,single,52,2.0,0.04,
El Salvador,AME,Yes,1970,,single,52,2.0,0.04,
El Salvador,AME,Yes,1972,,single,52,2.0,0.04,
El Salvador,AME,Yes,1974,,single,52,3.0,0.06,
El Salvador,AME,Yes,1976,,single,54,3.0,0.06,
El Salvador,AME,Yes,1978,,single,54,4.0,0.07,The Legislative Assembly was dissolved following a military coup d'Etat on 15 October 1979.
El Salvador,AME,Yes,1982,,temporary_assembly,60,8.0,0.13,Unicameral Constituent Assembly.
El Salvador,AME,Yes,1983,,single,60,7.0,0.12,
El Salvador,AME,Yes,1985,,single,60,4.0,0.07,
El Salvador,AME,Yes,1988,,single,60,7.0,0.12,
El Salvador,AME,Yes,1991,,single,84,7.0,0.08,Plus 7 women substitute members
El Salvador,AME,Yes,1994,,single,84,9.0,0.11,
El Salvador,AME,Yes,1997,,single,84,9.0,0.11,
El Salvador,AME,Yes,2000,,single,84,8.0,0.1,
El Salvador,AME,Yes,2003,,single,84,9.0,0.11,
El Salvador,AME,Yes,2006,,single,84,14.0,0.17,
El Salvador,AME,Yes,2009,,single,84,16.0,0.19,
El Salvador,AME,Yes,2012,March,single,84,22.0,0.26,
El Salvador,AME,Yes,2015,March,single,84,27.0,0.32,
El Salvador,AME,Yes,2018,March,single,84,26.0,0.31,
Equatorial Guinea,SUB-SAHARAN,Yes,1968,,single,35,2.0,0.06,"First legislature of Equatorial Guinea after the country became independent on 12 October 1968.  The Assembly was later suspended in February 1970 by the President of the Republic, then dissolved in July 1972, date on which the new Constitution gave the President of the Republic full powers."
Equatorial Guinea,SUB-SAHARAN,Yes,1983,,single,60,2.0,0.03,
Equatorial Guinea,SUB-SAHARAN,Yes,1988,,single,60,8.0,0.13,
Equatorial Guinea,SUB-SAHARAN,Yes,1993,,single,80,6.0,0.08,
Equatorial Guinea,SUB-SAHARAN,Yes,1999,,single,80,4.0,0.05,
Equatorial Guinea,SUB-SAHARAN,Yes,2004,July,single,100,14.0,0.14,
Equatorial Guinea,SUB-SAHARAN,Yes,2004,September,single,100,18.0,0.18,
Equatorial Guinea,SUB-SAHARAN,Yes,2004,November,single,100,14.0,0.14,
Equatorial Guinea,SUB-SAHARAN,Yes,2004,December,single,100,18.0,0.18,
Equatorial Guinea,SUB-SAHARAN,Yes,2008,,single,100,6.0,0.06,
Equatorial Guinea,SUB-SAHARAN,Yes,2013,,lower,100,22.0,0.22,
Equatorial Guinea,SUB-SAHARAN,Yes,2013,August,upper,70,10.0,0.14,Since the Senate was only established in 2013 there are no statistics on previous elections.
Equatorial Guinea,SUB-SAHARAN,Yes,2017,January,lower,100,20.0,0.2,
Equatorial Guinea,SUB-SAHARAN,Yes,2017,January,upper,73,12.0,0.16,
Eritrea,SUB-SAHARAN,Yes,1994,,single,105,22.0,0.21,First legislature of Eritrea after the country became independent on 24 May 1993.
Estonia,EUR,Yes,1990,,single,105,6.0,0.06,The Soviet Supreme of the SSR of Estonia became the first legislature of Estonia after the restoration of the country's independence on 20 August 1991. Estonian women had previously been elected to the Soviet Supreme of the SSR of Estonia and to the USSR Parliament.
Estonia,EUR,Yes,1992,,single,102,14.0,0.14,
Estonia,EUR,Yes,1995,,single,101,13.0,0.13,
Estonia,EUR,Yes,1999,,single,101,18.0,0.18,
Estonia,EUR,Yes,2003,,single,101,19.0,0.19,
Estonia,EUR,Yes,2007,March,single,101,24.0,0.24,
Estonia,EUR,Yes,2007,April,single,101,22.0,0.22,
Estonia,EUR,Yes,2007,December,single,101,21.0,0.21,
Estonia,EUR,Yes,2011,,single,101,20.0,0.2,
Estonia,EUR,Yes,2015,,single,101,24.0,0.24,
Eswatini,SUB-SAHARAN,Yes,1972,,lower,55,1.0,0.02,"First legislature of Swaziland after the country became independent on 6 September 1968.  Parliament was dissolved on 12 April 1973 by the King who then abolished the parliamentary system by decree of 24 March 1977. Concerns all elections: 40 members elected by an electoral college, 10 members appointed by the King from 1972 to 1987; 55 members elected by an electoral college and 10 members appointed by the King in 1993."
Eswatini,SUB-SAHARAN,Yes,1972,April,upper,20,1.0,0.05,First legislature of Swaziland after the country became independent on 6 September 1968.  Parliament was dissolved on 12 April 1973 by the King who then abolished the parliamentary system by decree of 24 March 1977. Concerns all elections: 10 members elected by the Assembly and 10 members appointed by the King from 1972 to 1987; 10 members elected by the Assembly and 20 members appointed by the King in 1993. 
Eswatini,SUB-SAHARAN,Yes,1978,,lower,55,3.0,0.05,"40 Lower House members elected by an electoral college, 10 members appointed by the King"
Eswatini,SUB-SAHARAN,Yes,1978,October,upper,20,1.0,0.05,10 Upper House members elected by the Assembly and 10 members appointed by the King
Eswatini,SUB-SAHARAN,Yes,1983,,lower,55,1.0,0.02,"40 Lower House members elected by an electoral college, 10 members appointed by the King"
Eswatini,SUB-SAHARAN,Yes,1983,October,upper,20,3.0,0.15,10 Upper House members elected by the Assembly and 10 members appointed by the King
Eswatini,SUB-SAHARAN,Yes,1987,,lower,55,2.0,0.04,"40 Lower House members elected by an electoral college, 10 members appointed by the King. The Parliament was dissolved by royal decree on 9 October 1992."
Eswatini,SUB-SAHARAN,Yes,1987,November,upper,20,3.0,0.15,10 Upper House members elected by the Assembly and 10 members appointed by the King. The Parliament was dissolved by royal decree on 9 October 1992.
Eswatini,SUB-SAHARAN,Yes,1993,,lower,65,2.0,0.03,55 Lower House members elected by an electoral college and 10 members appointed by the King
Eswatini,SUB-SAHARAN,Yes,1993,October,upper,30,6.0,0.2,10 Lower House members elected by the Assembly and 20 members appointed by the King in 1993. 
Eswatini,SUB-SAHARAN,Yes,1998,,lower,65,2.0,0.03,"40 Lower House members elected by an electoral college, 10 members appointed by the King"
Eswatini,SUB-SAHARAN,Yes,1998,October,upper,30,4.0,0.13,10 Upper House members elected by the Assembly and 10 members appointed by the King
Eswatini,SUB-SAHARAN,Yes,2003,,lower,65,7.0,0.11,"40 Lower House members elected by an electoral college, 10 members appointed by the King"
Eswatini,SUB-SAHARAN,Yes,2003,,upper,30,9.0,0.3,10 Upper House members elected by the Assembly and 10 members appointed by the King
Eswatini,SUB-SAHARAN,Yes,2008,October,lower,65,8.0,0.12,"40 Lower House members elected by an electoral college, 10 members appointed by the King"
Eswatini,SUB-SAHARAN,Yes,2008,November,lower,65,9.0,0.14,
Eswatini,SUB-SAHARAN,Yes,2008,October,upper,30,12.0,0.4,10 Upper House members elected by the Assembly and 10 members appointed by the King
Eswatini,SUB-SAHARAN,Yes,2013,September,lower,65,4.0,0.06,
Eswatini,SUB-SAHARAN,Yes,2013,October,upper,30,10.0,0.33,
Eswatini,SUB-SAHARAN,Yes,2018,September,lower,69,5.0,0.07,"2 women elected, 3 women appointed (formally swaziland)"
Eswatini,SUB-SAHARAN,Yes,2018,October,upper,30,7.0,0.23,Formally Swaziland (see section on Swaziland - name change in 2017)
Ethiopia,SUB-SAHARAN,Yes,1957,,lower,210,2.0,0.01,First legislature of the Empire since 1932.
Ethiopia,SUB-SAHARAN,Yes,1957,,upper,35,0.0,0.0,First legislature of the Empire since 1932.
Ethiopia,SUB-SAHARAN,Yes,1962,,lower,210,4.0,0.02,
Ethiopia,SUB-SAHARAN,Yes,1962,,upper,35,0.0,0.0,
Ethiopia,SUB-SAHARAN,Yes,1973,,lower,250,4.0,0.02,Parliament was dissolved in September 1974 following the Revolution.
Ethiopia,SUB-SAHARAN,Yes,1973,,upper,125,0.0,0.0,Parliament was dissolved in September 1974 following the Revolution.
Ethiopia,SUB-SAHARAN,Yes,1987,,single,835,1.0,0.0,One woman among the 136 members of the Central Bureau of the National Shengo and 6 substitute women members among the 64 substitute members of the Central Bureau; no women among the members of the Politburo of the National Shengo. The National Conference of July 1991 dissolved the National Shengo and on a transitional basis established a Council of the Republic.
Ethiopia,SUB-SAHARAN,Yes,1995,,lower,537,11.0,0.02,In 1995 the period of transitional government ended.
Ethiopia,SUB-SAHARAN,Yes,1995,,upper,108,7.0,0.06,
Ethiopia,SUB-SAHARAN,Yes,2000,,lower,546,42.0,0.08,
Ethiopia,SUB-SAHARAN,Yes,2000,,upper,108,8.0,0.07,
Ethiopia,SUB-SAHARAN,Yes,2005,,lower,546,116.0,0.21,"The nominal number of seats is 547, but there were 21 vacancies at the time."
Ethiopia,SUB-SAHARAN,Yes,2005,December,lower,546,117.0,0.21,
Ethiopia,SUB-SAHARAN,Yes,2005,,upper,112,21.0,0.19,
Ethiopia,SUB-SAHARAN,Yes,2010,May,lower,547,152.0,0.28,
Ethiopia,SUB-SAHARAN,Yes,2010,May,upper,135,22.0,0.16,
Ethiopia,SUB-SAHARAN,Yes,2015,May,lower,546,212.0,0.39,
Ethiopia,SUB-SAHARAN,Yes,2015,October,upper,153,49.0,0.32,
Fiji,PAC,Yes,1970,,upper,22,1.0,0.05,First legislature of Fiji after the country became independent on 10 October 1970. All senate members appointed.
Fiji,PAC,Yes,1972,,lower,52,2.0,0.04,First legislature of Fiji after the country became independent on 10 October 1970.
Fiji,PAC,Yes,1976,,upper,22,1.0,0.05,All senate members were appointed
Fiji,PAC,Yes,1977,,lower,52,1.0,0.02,
Fiji,PAC,Yes,1982,,lower,52,1.0,0.02,Parliament was dissolved following a military coup d'Etat of 1987.
Fiji,PAC,Yes,1982,,upper,22,1.0,0.05,All senate members were appointed; Parliament was dissolved following a military coup d'Etat of 1987.
Fiji,PAC,Yes,1987,,lower,51,0.0,0.0,Parliament was dissolved following a military coup d'Etat of 1987.
Fiji,PAC,Yes,1992,,lower,70,1.0,0.01,
Fiji,PAC,Yes,1992,,upper,34,3.0,0.09,All senate members were appointed
Fiji,PAC,Yes,1994,,lower,70,3.0,0.04,
Fiji,PAC,Yes,1999,,lower,71,8.0,0.11,
Fiji,PAC,Yes,1999,June,lower,32,3.0,0.09,
Fiji,PAC,Yes,2001,,lower,71,5.0,0.07,By-election for lower House due to death of a sitting Member. 1 more woman elected in 12/2004
Fiji,PAC,Yes,2001,,upper,32,4.0,0.12,All senate members were appointed
Fiji,PAC,Yes,2006,May,lower,71,8.0,0.11,*The Parliament of Fiji was dissolved following a coup d'état in December 2006. 
Fiji,PAC,Yes,2006,,upper,24,3.0,0.12,
Fiji,PAC,Yes,2006,,upper,32,5.0,0.16,All senate members were appointed. The Parliament was dissolved following a military coup.
Fiji,PAC,Yes,2014,,single,50,8.0,0.16,
Fiji,PAC,Yes,2018,,single,51,10.0,0.2,
Finland,EUR,Yes,1945,,single,200,18.0,0.09,
Finland,EUR,Yes,1954,,single,200,30.0,0.15,
Finland,EUR,Yes,1962,,single,200,28.0,0.14,
Finland,EUR,Yes,1966,,single,200,33.0,0.16,
Finland,EUR,Yes,1970,,single,200,33.0,0.16,
Finland,EUR,Yes,1972,,single,200,43.0,0.22,
Finland,EUR,Yes,1975,,single,200,46.0,0.23,
Finland,EUR,Yes,1979,,single,200,52.0,0.26,
Finland,EUR,Yes,1983,,single,200,61.0,0.3,
Finland,EUR,Yes,1987,,single,200,63.0,0.32,
Finland,EUR,Yes,1991,,single,200,78.0,0.39,
Finland,EUR,Yes,1995,,single,200,67.0,0.34,
Finland,EUR,Yes,1999,,single,200,74.0,0.37,
Finland,EUR,Yes,2003,,single,200,75.0,0.38,
Finland,EUR,Yes,2007,March,single,200,84.0,0.42,
Finland,EUR,Yes,2007,December,single,200,83.0,0.42,
Finland,EUR,Yes,2011,April,single,200,85.0,0.42,
Finland,EUR,Yes,2015,April,single,200,83.0,0.42,
France,EUR,Yes,1945,,lower,586,33.0,0.06,
France,EUR,Yes,1946,,lower,586,30.0,0.05,Constitutional Assembly
France,EUR,Yes,1946,,lower,618,43.0,0.07,National Assembly
France,EUR,Yes,1946,,upper,314,21.0,0.07,
France,EUR,Yes,1948,,upper,320,12.0,0.04,
France,EUR,Yes,1951,,lower,627,23.0,0.04,
France,EUR,Yes,1951,,upper,319,9.0,0.03,
France,EUR,Yes,1955,,upper,319,9.0,0.03,
France,EUR,Yes,1956,,lower,596,19.0,0.03,
France,EUR,Yes,1958,,lower,586,9.0,0.02,
France,EUR,Yes,1958,,upper,314,6.0,0.02,
France,EUR,Yes,1959,,upper,307,5.0,0.02,
France,EUR,Yes,1962,,lower,482,9.0,0.02,
France,EUR,Yes,1962,,upper,274,5.0,0.02,
France,EUR,Yes,1964,,upper,274,5.0,0.02,
France,EUR,Yes,1967,,lower,487,11.0,0.02,
France,EUR,Yes,1968,,lower,487,10.0,0.02,
France,EUR,Yes,1968,,upper,283,5.0,0.02,
France,EUR,Yes,1971,,upper,283,4.0,0.01,
France,EUR,Yes,1973,,lower,490,13.0,0.03,
France,EUR,Yes,1974,,upper,283,7.0,0.02,
France,EUR,Yes,1977,,upper,295,5.0,0.02,
France,EUR,Yes,1978,,lower,491,21.0,0.04,
France,EUR,Yes,1980,,upper,304,7.0,0.02,
France,EUR,Yes,1981,,lower,491,35.0,0.07,
France,EUR,Yes,1983,,upper,317,9.0,0.03,
France,EUR,Yes,1986,,lower,577,38.0,0.07,
France,EUR,Yes,1986,,upper,319,9.0,0.03,
France,EUR,Yes,1988,,lower,577,40.0,0.07,
France,EUR,Yes,1989,,upper,321,10.0,0.03,
France,EUR,Yes,1992,,upper,321,16.0,0.05,
France,EUR,Yes,1993,,lower,577,37.0,0.06,
France,EUR,Yes,1995,,upper,321,18.0,0.06,"Partial renewal, elections were held for one third of the seats."
France,EUR,Yes,1997,,lower,577,63.0,0.11,
France,EUR,Yes,1998,,upper,321,19.0,0.06,"Partial renewal, elections were held for one third of the seats."
France,EUR,Yes,2001,,upper,320,35.0,0.11,"Partial renewal, elections were held for one third of the seats."
France,EUR,Yes,2002,,lower,577,71.0,0.12,
France,EUR,Yes,2002,October,lower,577,70.0,0.12,
France,EUR,Yes,2004,January,upper,321,35.0,0.11,
France,EUR,Yes,2004,September,upper,331,56.0,0.17,"Partial renewal, elections were held for one third of the seats. All members were Indirectly elected; only 128 seats were renewed."
France,EUR,Yes,2007,,lower,577,105.0,0.18,
France,EUR,Yes,2008,,upper,343,75.0,0.22,"Partial renewal, elections were held for one third of the seats. Out of 114 seats up for election, 18 women obtained seats."
France,EUR,Yes,2011,September,lower,577,107.0,0.19,
France,EUR,Yes,2011,September,upper,348,77.0,0.22, Elections were held for half of the seats in the Senate upon the expiry of members' term of office. 
France,EUR,Yes,2012,,lower,577,155.0,0.27,
France,EUR,Yes,2014,,upper,348,87.0,0.25,
France,EUR,Yes,2017,June,lower,577,224.0,0.39,
France,EUR,Yes,2017,September,upper,348,102.0,0.29,
Gabon,SUB-SAHARAN,Yes,1961,,single,67,1.0,0.01,First legislature of Gabon after the country became independent on 17 August 1960.  The Assembly was then dissolved following a military coup d'Etat in February 1964
Gabon,SUB-SAHARAN,Yes,1964,,single,47,0.0,0.0,The Assembly had been dissolved following a military coup d'Etat in February 1964
Gabon,SUB-SAHARAN,Yes,1967,,single,67,0.0,0.0,
Gabon,SUB-SAHARAN,Yes,1973,,single,70,3.0,0.04,
Gabon,SUB-SAHARAN,Yes,1980,,single,93,13.0,0.14,
Gabon,SUB-SAHARAN,Yes,1985,,single,120,16.0,0.13,111 elected and 9 appointed by the Head of State.
Gabon,SUB-SAHARAN,Yes,1990,,single,119,7.0,0.06,"The nominal number of seats is 120, but there was 1 vacancy at the time; 111 elected 9 appointed by the Head of State."
Gabon,SUB-SAHARAN,Yes,1996,,lower,120,10.0,0.08,
Gabon,SUB-SAHARAN,Yes,1997,,upper,91,10.0,0.11,
Gabon,SUB-SAHARAN,Yes,2001,,lower,119,11.0,0.09,
Gabon,SUB-SAHARAN,Yes,2003,,upper,91,12.0,0.13,
Gabon,SUB-SAHARAN,Yes,2006,,lower,120,15.0,0.12,
Gabon,SUB-SAHARAN,Yes,2009,,upper,116,17.0,0.15,
Gabon,SUB-SAHARAN,Yes,2011,,lower,113,15.0,0.13,
Gabon,SUB-SAHARAN,Yes,2014,,upper,100,19.0,0.19,
Gabon,SUB-SAHARAN,Yes,2018,October,lower,134,24.0,0.18,
Gambia (The),SUB-SAHARAN,Yes,1966,,single,41,0.0,0.0,First legislature of the Gambia after the country became independent on 18 February 1965; Parliament was then called Legislative Assembly. A number of appointed members and ex-officio members in all legislatures.
Gambia (The),SUB-SAHARAN,Yes,1972,,single,41,0.0,0.0,A number of appointed members and ex-officio members in all legislatures
Gambia (The),SUB-SAHARAN,Yes,1977,,single,Not available,,,"A number of appointed members and ex-officio members in all legislatures. The number of total seats at the time was 45, but this was not counted since information on the number of women is unavailable."
Gambia (The),SUB-SAHARAN,Yes,1982,,single,49,3.0,0.06,A number of appointed members and ex-officio members in all legislatures
Gambia (The),SUB-SAHARAN,Yes,1987,,single,51,4.0,0.08,A number of appointed members and ex-officio members in all legislatures
Gambia (The),SUB-SAHARAN,Yes,1992,,single,51,4.0,0.08,A number of appointed members and ex-officio members in all legislatures; The House was dissolved following a military coup d'Etat on 22 July 1994. All women were appointed.
Gambia (The),SUB-SAHARAN,Yes,1997,,single,49,1.0,0.02,A number of appointed members and ex-officio members in all legislatures
Gambia (The),SUB-SAHARAN,Yes,2002,,single,53,7.0,0.13,"48 directly elected, 5 appointed"
Gambia (The),SUB-SAHARAN,Yes,2007,,single,53,5.0,0.09,"48 elected, 5 appointed"
Gambia (The),SUB-SAHARAN,Yes,2012,,single,53,4.0,0.08,
Gambia (The),SUB-SAHARAN,Yes,2017,April,single,58,6.0,0.1,
Georgia,EUR,Yes,1990,,single,250,18.0,0.07,The Supreme Soviet of the SSR of Georgia became the first legislature of Georgia after the country became independent in April 1991. Georgian women were previously elected to the Supreme Soviet of SSR of Georgia and to the Parliament of the USSR.
Georgia,EUR,Yes,1992,,single,222,14.0,0.06,
Georgia,EUR,Yes,1995,,single,231,16.0,0.07,
Georgia,EUR,Yes,1999,,single,235,17.0,0.07,
Georgia,EUR,Yes,2004,April,single,235,22.0,0.09,
Georgia,EUR,Yes,2004,February,single,235,17.0,0.07,
Georgia,EUR,Yes,2008,,single,150,9.0,0.06,
Georgia,EUR,Yes,2012,,single,150,18.0,0.12,
Georgia,EUR,Yes,2016,,single,150,17.0,0.11,
Georgia,EUR,Yes,2016,October,single,150,,,
Georgia,EUR,Yes,2016,November,single,150,24.0,0.16,
Germany,EUR,Yes,1990,,lower,662,136.0,0.21,
Germany,EUR,Yes,1994,,lower,672,177.0,0.26,
Germany,EUR,Yes,1998,,lower,669,207.0,0.31,
Germany,EUR,Yes,2002,,lower,603,194.0,0.32,
Germany,EUR,Yes,2005,,lower,614,195.0,0.32,
Germany,EUR,Yes,2009,,lower,622,204.0,0.33,directly elected 598; other 22; Other: there are currently 22 overhang seats.
Germany,EUR,Yes,2013,,lower,620,204.0,0.33,
Germany,EUR,Yes,2013,October,lower,631,204.0,0.32,
Germany,EUR,Yes,2013,November,lower,631,229.0,0.36,
Germany,EUR,Yes,2017,,lower,709,218.0,0.31,
Germany (Democratic Republic),EUR,Yes,1950,,single,466,128.0,0.27,
Germany (Democratic Republic),EUR,Yes,1954,,single,466,114.0,0.24,
Germany (Democratic Republic),EUR,Yes,1958,,single,466,114.0,0.24,
Germany (Democratic Republic),EUR,Yes,1963,,single,500,137.0,0.27,
Germany (Democratic Republic),EUR,Yes,1967,,single,500,153.0,0.31,
Germany (Democratic Republic),EUR,Yes,1971,,single,500,159.0,0.32,
Germany (Democratic Republic),EUR,Yes,1976,,single,500,168.0,0.34,
Germany (Democratic Republic),EUR,Yes,1981,,single,500,162.0,0.32,
Germany (Democratic Republic),EUR,Yes,1986,,single,500,161.0,0.32,
Germany (Democratic Republic),EUR,Yes,1990,,single,400,82.0,0.2,
Germany (Federal Republic Of),EUR,Yes,1949,,lower,410,28.0,0.07,
Germany (Federal Republic Of),EUR,Yes,1953,,lower,509,45.0,0.09,
Germany (Federal Republic Of),EUR,Yes,1957,,lower,519,48.0,0.09,
Germany (Federal Republic Of),EUR,Yes,1961,,lower,521,43.0,0.08,
Germany (Federal Republic Of),EUR,Yes,1965,,lower,518,36.0,0.07,The Bundesrat does not have a fixed term. The members' terms depend on that of the government of the Land (State) they represent.
Germany (Federal Republic Of),EUR,Yes,1969,,lower,518,34.0,0.07,
Germany (Federal Republic Of),EUR,Yes,1972,,lower,518,30.0,0.06,The Bundesrat does not have a fixed term. The members' terms depend on that of the government of the Land (State) they represent.
Germany (Federal Republic Of),EUR,Yes,1976,,lower,518,38.0,0.07,
Germany (Federal Republic Of),EUR,Yes,1980,,lower,519,44.0,0.08,
Germany (Federal Republic Of),EUR,Yes,1983,,lower,520,51.0,0.1,
Germany (Federal Republic Of),EUR,Yes,1987,,lower,519,80.0,0.15,
Ghana,SUB-SAHARAN,Yes,1956,,single,?,,,"The Legislative Assembly of the Gold Coast, elected on 17 July 1956, became the first legislature of Ghana after the country became independent on 6 March 1957"
Ghana,SUB-SAHARAN,Yes,1960,,single,104,10.0,0.1,
Ghana,SUB-SAHARAN,Yes,1965,,single,104,10.0,0.1,Parliament was dissolved following a military coup d'Etat in January 1966.
Ghana,SUB-SAHARAN,Yes,1969,,single,140,2.0,0.01,Parliament was dissolved following a military coup d'Etat in January 1972.
Ghana,SUB-SAHARAN,Yes,1979,,single,140,5.0,0.04,Parliament was dissolved following a military coup d'Etat on 31 December 1981; a Consultative Assembly comprising 260 members (including ? women) was established in May 1991 with a mandate to draw up a draft Constitution.
Ghana,SUB-SAHARAN,Yes,1991,,temporary_assembly,Not available,,,"Parliament was dissolved following a military coup d'Etat on 31 December 1981; a Consultative Assembly comprising 260 members (including ? women) was established in May 1991 with a mandate to draw up a draft Constitution. The total number of seats at the time was 260, but this was not counted since information on the number of women is unavailable."
Ghana,SUB-SAHARAN,Yes,1992,,single,200,16.0,0.08,
Ghana,SUB-SAHARAN,Yes,1996,,single,200,18.0,0.09,
Ghana,SUB-SAHARAN,Yes,2000,,single,200,18.0,0.09,
Ghana,SUB-SAHARAN,Yes,2004,December,single,230,25.0,0.11,
Ghana,SUB-SAHARAN,Yes,2008,,single,228,18.0,0.08,
Ghana,SUB-SAHARAN,Yes,2016,,single,275,30.0,0.11,
